     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
56180, 4, 719, 0.00, 0.00, 0.39, 0.41, 10.23, 90.35, 32, 1, 34, 2, 32, 1, 32, 1, 0,0.00,0,13228
56601, 4, 714, 0.00, 0.00, 0.40, 0.39, 10.23, 71.49, 32, 1, 32, 1, 34, 2, 34, 1, 0,0.00,0,13649
57024, 4, 726, 0.00, 0.00, 0.43, 0.39, 10.23, 84.46, 33, 1, 32, 1, 32, 1, 32, 1, 0,0.00,0,14072
57447, 4, 728, 0.00, 0.00, 0.33, 0.33, 10.15, 97.65, 33, 1, 33, 2, 34, 2, 32, 1, 0,0.00,0,14494
57869, 4, 722, 0.00, 0.00, 0.38, 0.37, 10.22, 84.61, 33, 2, 34, 2, 32, 1, 33, 1, 0,0.00,0,14917
58291, 4, 716, 0.00, 0.00, 0.42, 0.40, 10.29, 96.48, 34, 2, 35, 1, 32, 1, 32, 1, 0,0.00,0,15339
58714, 4, 723, 0.00, 0.00, 0.41, 0.38, 10.24, 64.69, 32, 1, 32, 1, 34, 2, 32, 1, 0,0.00,0,15762
59137, 4, 727, 0.00, 0.00, 0.37, 0.35, 10.18, 96.47, 47, 2, 49, 2, 32, 1, 32, 1, 0,0.00,0,16185
59558, 4, 724, 0.00, 0.00, 0.41, 0.36, 10.23, 96.54, 34, 1, 33, 1, 32, 1, 35, 1, 0,0.00,0,16605
59980, 4, 715, 0.00, 0.00, 0.38, 0.35, 10.23, 89.93, 33, 1, 32, 1, 32, 1, 33, 1, 0,0.00,0,17027
60402, 4, 729, 0.00, 0.00, 0.39, 0.38, 10.23, 102.45, 32, 1, 46, 2, 32, 1, 33, 1, 0,0.00,0,17450
60827, 4, 726, 0.00, 0.00, 0.38, 0.35, 10.22, 89.93, 36, 1, 32, 1, 32, 1, 34, 1, 0,0.00,0,17874
61248, 4, 722, 0.00, 0.00, 0.35, 0.35, 10.23, 104.32, 34, 2, 32, 1, 32, 1, 32, 1, 0,0.00,0,18295
61671, 4, 715, 0.00, 0.00, 0.35, 0.37, 10.22, 75.51, 34, 2, 58, 2, 34, 2, 33, 1, 0,0.00,0,18719
62092, 4, 701, 0.00, 0.00, 0.35, 0.33, 10.23, 90.15, 32, 1, 33, 1, 33, 2, 32, 1, 0,0.00,0,19140
62514, 4, 681, 0.00, 0.00, 0.39, 0.33, 10.23, 90.17, 32, 1, 33, 2, 33, 1, 41, 1, 0,0.00,0,19562
62935, 4, 573, 0.00, 0.00, 0.33, 0.34, 10.27, 69.67, 34, 2, 32, 1, 32, 1, 32, 1, 0,0.00,0,19981
63356, 4, 592, 0.00, 0.00, 0.43, 0.38, 10.22, 63.37, 32, 1, 32, 1, 47, 2, 33, 1, 0,0.00,0,20404
63779, 4, 664, 0.00, 0.00, 0.28, 0.29, 10.17, 89.96, 32, 1, 33, 1, 32, 1, 33, 1, 0,0.00,0,20826
64201, 4, 733, 0.00, 0.00, 0.38, 0.37, 10.23, 70.64, 32, 1, 32, 1, 33, 1, 33, 1, 0,0.00,0,21248
64622, 4, 572, 0.00, 0.00, 0.33, 0.29, 10.18, 106.08, 37, 1, 60, 2, 34, 2, 32, 1, 0,0.00,0,21670
65046, 4, 390, 0.00, 0.00, 0.36, 0.35, 10.23, 90.18, 32, 1, 32, 1, 33, 1, 32, 1, 0,0.00,0,22094
65469, 4, 319, 0.00, 0.00, 0.36, 0.32, 10.23, 72.29, 50, 2, 33, 2, 32, 1, 32, 1, 0,0.00,0,22516
65890, 4, 330, 0.00, 0.00, 0.33, 0.36, 10.23, 54.72, 32, 1, 34, 2, 33, 1, 51, 2, 0,0.00,0,22938
66313, 4, 366, 0.00, 0.00, 0.32, 0.33, 10.23, 76.17, 34, 2, 32, 1, 32, 1, 33, 2, 0,0.00,0,23360
66736, 4, 370, 0.00, 0.00, 0.32, 0.34, 10.23, 76.17, 32, 1, 32, 1, 33, 2, 33, 1, 0,0.00,0,23784
67158, 4, 390, 0.00, 0.00, 0.31, 0.36, 10.20, 68.58, 33, 2, 32, 1, 32, 1, 32, 1, 0,0.00,0,24205
67579, 4, 393, 0.00, 0.00, -0.17, -0.19, 9.58, 68.69, 33, 1, 32, 1, 33, 1, 32, 1, 0,0.00,0,67577
